text,category
Инженеры разработали умный рюкзак с солнечной зарядкой,technology
Хоккеисты одержали победу в овертайме,sport
Дипломатические переговоры завершились подписанием меморандума,politics
Разработан инструмент автоматического перевода кода между языками,technology
Дзюдоист стал чемпионом мира в своей весовой категории,sport
Комедийное шоу собрало рекордные рейтинги,entertainment
Спортсмен завершил карьеру после двадцати лет выступлений,sport
Баскетбольный клуб объявил о трансфере звёздного игрока,sport
Новинка игровой индустрии установила рекорд по предзаказам,entertainment
Спортивный клуб открыл новую тренировочную базу,sport
Производитель чипов открыл новый завод на территории страны,technology
Специалисты по безопасности обнаружили уязвимость в популярном мессенджере,technology
Президент подписал указ о создании нового ведомства,politics
Кинопремьера собрала аншлаг в первый день проката,entertainment
Правительство ввело мораторий на рост тарифов жилищно-коммунального хозяйства,politics
Компания анонсировала умные очки с дополненной реальностью,technology
Исследователи доказали что растения обмениваются химическими сигналами,science
Правительство утвердило бюджет на следующий год,politics
Министерство здравоохранения ввело новые санитарные нормы,politics
Тяжелоатлет поднял рекордный вес на турнире,sport
Учёные разработали вакцину против нового вируса,science
Физики разработали квантовый сенсор для медицинской диагностики,science
Чемпионат по плаванию прошёл в олимпийском бассейне,sport
Знаменитый скульптор открыл выставку новых работ,entertainment
Министр провёл международные переговоры,politics
Облачный сервис обновил систему хранения данных,technology
Стартап создал систему умного освещения для городов,technology
Комитет по расследованию опубликовал доклад о коррупции,politics
Инженеры создали солнечную панель с рекордным КПД,technology
Химики синтезировали вещество превращающее углекислый газ в топливо,science
Лидер страны обратился к нации с новогодним посланием,politics
Певица выступила с сольным концертом на стадионе,entertainment
Климатологи предупреждают об ускорении таяния ледников,science
Зоологи описали новый вид летучей мыши в тропических лесах,science
Химики разработали краску меняющую цвет при изменении температуры,science
Министр финансов прокомментировал состояние государственного бюджета,politics
Тхэквондист завоевал олимпийскую лицензию на турнире,sport
Художественная премия вручена скульптору за вклад в современное искусство,entertainment
Научное открытие изменило представление о Вселенной,science
Биологи открыли ген отвечающий за регенерацию конечностей у саламандр,science
Первый отечественный мюзикл получил высшую театральную награду,entertainment
Теннисист вышел в полуфинал открытого чемпионата,sport
Учёные расшифровали ДНК мамонта возрастом сто тысяч лет,science
Музей провёл ночь открытых дверей для посетителей,entertainment
Посол страны был объявлен персоной нон грата,politics
Художественная галерея провела аукцион работ молодых авторов,entertainment
Стартап привлёк крупные инвестиции на разработку роботов,technology
Мировая звезда поп-музыки анонсировала концерт в России,entertainment
Производитель чипов анонсировал процессор с триллионом транзисторов,technology
Молодой певец выиграл национальный конкурс исполнителей,entertainment
Режиссёр анонсировал продолжение культового фильма,entertainment
Разработан алгоритм обнаружения дипфейков в видеозаписях,technology
Театральная труппа представила новую постановку,entertainment
Министр культуры объявил о реформе системы государственных театров,politics
Правительство объявило о снижении налогов для среднего класса,politics
Пловец завоевал четыре медали на одном чемпионате,sport
Физики создали материал с нулевым электрическим сопротивлением,science
Геологи установили точную дату последнего извержения вулкана,science
Молодой футболист дебютировал в основном составе клуба,sport
Исследователи разработали метод ранней диагностики болезни Альцгеймера,science
Парламент утвердил состав новой счётной комиссии,politics
Инженеры создали материал для защиты от электромагнитного излучения,technology
Саблистка выиграла индивидуальный турнир по фехтованию,sport
Депутаты рассмотрели закон об ограничении монополий,politics
Стартап создал платформу для дистанционного управления промышленными объектами,technology
Сериал стал самым просматриваемым на стриминговой платформе,entertainment
Биохимики разработали препарат замедляющий старение клеток,science
Видеоигра установила рекорд продаж в день выхода,entertainment
Астрофизики открыли двойную звёздную систему с планетами,science
Футбольный союз ввёл новые правила проведения матчей,sport
Регбийная команда вышла в финал кубка страны,sport
Нейробиологи изучили механизм формирования памяти,science
Политическая коалиция распалась из-за разногласий между партнёрами,politics
Известный дизайнер представил ретроспективную выставку работ,entertainment
Геологи нашли месторождение редкоземельных металлов на морском дне,science
Биатлонист выиграл гонку преследования без промахов,sport
Учёные разработали способ извлечения металлов из электронного мусора,science
Нейробиологи создали карту всех нейронных связей мозга мыши,science
Министерство иностранных дел вызвало посла на переговоры,politics
Физики создали квантовый гироскоп для навигации без спутников,science
Теннисный турнир собрал сильнейших игроков мира,sport
Компания представила планшет с заменяемой батареей,technology
Парламентарии обсудили законопроект о свободе слова,politics
Марафонец пробежал дистанцию за рекордное время,sport
Прыгун с шестом установил новый рекорд соревнований,sport
Медики доказали эффективность нового препарата против диабета,science
Технологическая платформа запустила маркетплейс для продажи ИИ-моделей,technology
Учёные вырастили искусственную ткань для трансплантации,science
Учёные создали антибиотик активный против устойчивых бактерий,science
Эстрадная звезда выпустила мемуары о творческом пути,entertainment
Документальный сериал о великих изобретателях вышел на стриминге,entertainment
Команда по гандболу победила в чемпионате страны,sport
Роботизированный склад сортирует тысячу посылок в час,technology
Легкоатлетка завоевала серебряную медаль на Олимпиаде,sport
Кандидаты на выборах провели публичные дебаты,politics
Новая видеокарта потребляет на сорок процентов меньше энергии,technology
Министерство экологии представило план по снижению выбросов,politics
Клуб подписал контракт с молодым нападающим,sport
Теннисистка выиграла турнир большого шлема в одиночном разряде,sport
Певица представила клип снятый в исторических декорациях,entertainment
Разработана система распознавания лиц нового поколения,technology
Парламент принял новый закон,politics
Технологическая платформа вышла на рынок облачного хранения,technology
Депутаты проголосовали за повышение пенсионного возраста,politics
Астрофизики обнаружили в нашей галактике источник повторяющихся радиовсплесков,science
Парламент одобрил создание нового министерства цифрового развития,politics
Правительство объявило конкурс на должность руководителя государственной корпорации,politics
Шоу талантов привлекло рекордное число участников,entertainment
Парламент рассмотрел бюджетные поправки на ближайший квартал,politics
Исследователи создали фотонный компьютер работающий на световых импульсах,science
Президент вручил государственные награды заслуженным гражданам,politics
Беспроводная зарядка нового стандарта заряжает телефон за минуту,technology
Новый видеокарты ускорили обучение нейросетей в три раза,technology
Компания внедрила систему распознавания эмоций для маркетинга,technology
Стриминговая платформа выпустила оригинальный документальный сериал,entertainment
Производитель ноутбуков перешёл на собственные процессоры,technology
Исследователи выяснили причину вымирания древних морских рептилий,science
Регата собрала участников из двадцати стран,sport
Разработан сервис для автоматического создания презентаций,technology
Компания создала систему автоматического тестирования кода,technology
Физики впервые наблюдали столкновение двух чёрных дыр,science
Губернатор представил план развития региона на пять лет,politics
Известный актёр основал собственную театральную студию,entertainment
Телешоу о путешествиях получило приз за лучший документальный проект,entertainment
Разработчики добавили функцию редактирования отправленных сообщений,technology
Стриминговый сервис объявил о выходе нового сериала,entertainment
Кинорежиссёр анонсировал биографический фильм о художнике,entertainment
Хор исполнил забытую оперу впервые за сто лет,entertainment
Астрономы впервые получили изображение экзопланеты с атмосферой,science
Велогонщик лидирует в общем зачёте тура,sport
Видеоблогер снял документальный репортаж о жизни малых народов,entertainment
Коалиция партий договорилась о совместной платформе,politics
Стартап предлагает распознавание подчерка с точностью девяносто восемь процентов,technology
Издательство запустило серию книг об известных учёных,entertainment
Технологический акселератор объявил отбор стартапов в области ИИ,technology
Олимпийский чемпион завоевал золотую медаль,sport
Молодой пианист победил на международном конкурсе,entertainment
Учёные разработали способ очистки воды с помощью солнечного света,science
Чемпионат по шахматам выиграл гроссмейстер из России,sport
Физики провели новый эксперимент,science
Сборная по лёгкой атлетике завоевала три медали,sport
Парламент одобрил ратификацию климатического соглашения,politics
Референдум по ключевому вопросу назначен на осень,politics
Зонд передал снимки поверхности дальней планеты,science
Оппозиционная партия набрала рекордный процент на выборах,politics
Компания представила систему умного дома нового поколения,technology
Команда по синхронному плаванию получила максимальные оценки,sport
Новый мессенджер обеспечивает полную анонимность переписки,technology
Актриса дебютировала в режиссёрском кресле,entertainment
Учёные вырастили роговицу глаза из стволовых клеток пациента,science
Компания создала систему умной ирригации на основе датчиков,technology
Технологический концерн инвестировал миллиард в разработку ИИ,technology
Поэтический сборник был переведён на двадцать языков,entertainment
Хоккейный вратарь отразил решающий буллит,sport
Технологическая платформа предложила инструменты для создания аватаров,technology
Новый алгоритм сортировки данных работает вдвое быстрее,technology
Правительство расширило список стратегических предприятий,politics
Лидер страны принял верительные грамоты у новых послов,politics
Комедийный спектакль был продан до конца сезона,entertainment
Химики разработали биоразлагаемый пластик из растительного сырья,science
Рэпер анонсировал совместный альбом с зарубежными исполнителями,entertainment
Технологии виртуальной реальности применили в хирургии,technology
Международная организация осудила действия правительства страны,politics
Математики доказали давнюю нерешённую теорему,science
Новая операционная система для носимых устройств вышла в бета,technology
Физики разработали фотоэлемент с рекордным коэффициентом полезного действия,science
Хоккейная команда провела открытую тренировку для болельщиков,sport
Компания выпустила систему автоматического редактирования фотографий,technology
Парламент ратифицировал международный договор о торговле,politics
Новый алгоритм сжатия видео снижает размер файла вдвое,technology
Спортивная федерация утвердила новый регламент соревнований,sport
Музыкальная школа подготовила выпускной спектакль для публики,entertainment
Учёные исследуют космические объекты,science
Поп-дуэт воссоединился и анонсировал новый сингл,entertainment
Правительство ввело субсидии на покупку электромобилей,politics
Фигуристка исполнила программу без единой ошибки,sport
Верховный суд вынес решение по резонансному делу,politics
Учёные обнаружили в мозге клетки реагирующие на музыку,science
Законодатели обсудили поправки к конституции,politics
Астрофизики зафиксировали новый тип гамма-излучения,science
Кинокомпания объявила о запуске производства экранизации классики,entertainment
Компания анонсировала складной планшет с гибким экраном,technology
Производитель объявил об отказе от пластика в упаковке устройств,technology
Парламент обсудил законопроект о регулировании криптовалют,politics
Разработан браузерный движок с поддержкой трёхмерной графики,technology
Джазовый ансамбль выступил на главной площадке страны,entertainment
Правительство расширило программу льготной ипотеки для молодёжи,politics
Нападающий забил победный гол на последней минуте,sport
Поп-звезда отправилась в мировое турне,entertainment
Исследование показало связь между стрессом и иммунитетом,science
Бегун на короткие дистанции выиграл золото,sport
Атлет завоевал бронзовую медаль в тройном прыжке,sport
Муниципальные выборы прошли в нескольких регионах,politics
Технологический форум собрал разработчиков со всего мира,technology
Лидер оппозиции призвал к мирным протестам,politics
Музыкант выпустил клип набравший миллион просмотров,entertainment
Конькобежец финишировал с преимуществом в секунду,sport
Инженеры представили прототип беспилотного автомобиля,technology
Оппозиция организовала акцию протеста перед зданием парламента,politics
Новый язык программирования набирает популярность среди разработчиков,technology
Депутаты предложили ужесточить наказание за экономические преступления,politics
Медики провели первую трансплантацию почки от генно-модифицированной свиньи,science
Медики провели первую успешную трансплантацию искусственного сердца,science
Волейбольная команда выиграла европейский кубок,sport
Молодой режиссёр представил дебютную полнометражную работу,entertainment
Знаменитый дизайнер интерьеров выпустил книгу о стиле,entertainment
Команда по бобслею установила новый рекорд трассы,sport
Прыгун в длину установил новый национальный рекорд,sport
Архив кино оцифровал тысячу утраченных советских фильмов,entertainment
Нейробиологи обнаружили особый тип клеток ответственных за эмпатию,science
Разработан умный замок с распознаванием владельца по голосу,technology
Тренер команды рассказал о тактике на следующий матч,sport
Правительство повысило минимальный размер оплаты труда,politics
Исследователи выяснили причину миграции птиц в необычное время,science
Футболист перешёл в новый клуб за рекордную сумму,sport
Инженеры разработали аккумулятор с зарядом на две недели,technology
Правительство ввело новые налоговые льготы для предпринимателей,politics
Премьер-министр объявил о реструктуризации кабинета,politics
Астрономы зафиксировали рекордно яркую вспышку сверхновой,science
Новый протокол шифрования защищает переписку даже от квантовых компьютеров,technology
Учёные обнаружили в Тихом океане новый вид глубоководных рыб,science
Стадион установил рекорд посещаемости в этом сезоне,sport
Биохимики расшифровали структуру белка участвующего в работе памяти,science
Медики провели первую в истории операцию с использованием нанороботов,science
Правительство выделило гранты на развитие гражданского общества,politics
Дипломаты провели экстренное заседание совета безопасности,politics
Министерство труда разработало программу содействия занятости,politics
Анимационный фильм получил главный приз фестиваля,entertainment
Спортсмен установил мировой рекорд,sport
Компьютерные системы становятся мощнее,technology
Исследователи предложили новый метод борьбы с малярией,science
Интерактивный музей науки открылся в здании бывшего завода,entertainment
Президент помиловал группу осуждённых по политическим статьям,politics
Правительство ввело ограничения на вывоз капитала,politics
Актриса получила роль в международной копродукции,entertainment
Биологи обнаружили новый вид глубоководных кальмаров,science
Производитель объявил о выпуске смартфона со спутниковой связью,technology
Художественный фильм вышел в ограниченный прокат перед фестивалем,entertainment
Геофизики предсказали землетрясение с точностью до нескольких часов,science
Разработчики выпустили набор инструментов для работы с большими данными,technology
Государство запустило программу переселения из аварийного жилья,politics
Спортивные федерации договорились о новом формате турниров,sport
Биохимики выяснили механизм устойчивости бактерий к антибиотикам,science
Глава государства встретился с иностранной делегацией,politics
Компания анонсировала очки с дисплеем на сетчатке глаза,technology
Выборы мэра города прошли с рекордной явкой избирателей,politics
Тренер сборной прокомментировал итоги чемпионата,sport
Технологическая фирма открыла лабораторию квантовых вычислений,technology
Министр образования объявил о реформе школьной программы,politics
Дата-центр перешёл на возобновляемые источники энергии,technology
Компания выпустила клавиатуру с настраиваемыми механическими переключателями,technology
Гимнастка выступила на чемпионате с новой программой,sport
Теннисный корт был переименован в честь легендарного игрока,sport
Новый законопроект прошёл первое чтение в парламенте,politics
Исследователи доказали что осьминоги видят сны,science
Цирковое представление открылось в новом сезоне,entertainment
Футбольный матч завершился со счётом три один,sport
Гребцы завоевали две медали на чемпионате мира,sport
Медики испытали новый метод лечения онкологических заболеваний,science
Биологи открыли механизм который позволяет медузам стареть в обратную сторону,science
Театр оперы открыл сезон классической постановкой,entertainment
Команда по керлингу вышла в финал зимних игр,sport
Генетики расшифровали геном редкого организма,science
Исследователи разработали новый метод хранения энергии в молекулах,science
Разработан чат-бот для помощи пациентам с записью к врачу,technology
Геохимики установили состав первичной атмосферы Земли,science
Инженеры создали экзоскелет для реабилитации пациентов,technology
Известный скрипач дал благотворительный концерт,entertainment
Орбитальный телескоп передал изображения далёкой галактики,science
Физики получили конденсат Бозе-Эйнштейна при комнатной температуре,science
Химики получили материал тверже алмаза при нормальных условиях,science
Климатологи смоделировали сценарии изменения климата до конца века,science
Кандидат на пост президента провёл финальный митинг,politics
Квантовый компьютер решил задачу за рекордное время,technology
Компания запустила собственный потоковый сервис,technology
Фестиваль собрал тысячи зрителей,entertainment
Исследователи обнаружили следы воды на поверхности Марса,science
Парламентские слушания прошли по вопросам безопасности,politics
Политические партии начали предвыборную кампанию,politics
Производитель объявил о выпуске смарт-кольца для здоровья,technology
Генетики провели масштабное исследование геномов древних людей,science
Сенат проголосовал за новый пакет санкций,politics
Боксёр защитил титул чемпиона мира,sport
Политик объявил о своей отставке,politics
Международный кинофестиваль объявил программу этого года,entertainment
Партия представила предвыборную программу реформ,politics
Конституционный суд признал закон не соответствующим основному закону,politics
Новая система навигации работает без спутников,technology
Новый процессор превзошёл предшественника по производительности,technology
Правительство создало комиссию по реформе избирательной системы,politics
Компания выпустила беспроводные наушники с активным шумоподавлением,technology
Борец греко-римского стиля стал призёром чемпионата Европы,sport
Физики поймали частицу долгое время считавшуюся теоретической,science
Правительство объявило об амнистии в связи с государственным праздником,politics
Галерея представила работы современных художников,entertainment
Нанотехнологи создали покрытие отталкивающее воду и бактерии,science
Открылась ретроспектива работ известного фотографа,entertainment
Физики впервые телепортировали квантовое состояние на километр,science
Правительство расширило программу бесплатной медицины,politics
Исследователи изучили влияние микропластика на морских животных,science
Художник открыл персональную выставку в галерее,entertainment
Исследователи создали гибкий дисплей для носимых устройств,technology
Разработчики встроили голосовой переводчик в наушники,technology
Пятиборец завоевал медаль на чемпионате мира,sport
Режиссёр театра получил государственную премию,entertainment
Биологи описали симбиоз гриба и дерева в арктических условиях,science
Политик был задержан по подозрению в получении взятки,politics
Музыкальный лейбл подписал контракт с молодой исполнительницей,entertainment
Палеонтологи обнаружили останки неизвестного вида динозавров,science
Биохимики открыли белок защищающий нейроны при инсульте,science
Химики создали катализатор ускоряющий получение водорода из воды,science
Футбольный клуб занял первое место в турнирной таблице,sport
Популярный сериал вернулся с долгожданным продолжением,entertainment
Программа на основе ИИ пишет код по описанию задачи,technology
Лыжник финишировал первым на этапе кубка мира,sport
Нейробиологи выяснили каким образом мозг восстанавливается после сотрясения,science
